"Name","DNSHostName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion","IPv4Address","Lastlogondate"
"SA-WSFORECP03","SA-WSFORECP03.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"23/12/2021 10:20:07 PM"
"SA-WSFORECP04","SA-WSFORECP04.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)",,"30/12/2021 11:41:28 AM"
"SA-WSFORESR05","SA-WSFORESR05.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)",,"10/10/2022 6:44:28 AM"
"SA-WSFONAUD06","SA-WSFONAUD06.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)","10.10.10.246","29/12/2022 3:32:24 AM"
"SA-WSFOCID007","SA-WSFOCID007.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"01/02/2017 11:37:15 AM"
"SA-WSFOOPER08","SA-WSFOOPER08.hiexsp.ae","Windows 10 Pro",,"10.0 (18363)",,"20/07/2020 5:45:21 AM"
"DELPHIDB","DELPHIDB.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 3","6.1 (7601)",,"28/06/2019 5:49:18 PM"
"DELPHIAP","DELPHIAP.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)",,"30/03/2019 1:44:25 PM"
"DIC-WSFBSSUP01","DIC-WSFBSSUP01.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)",,"26/04/2022 5:35:20 PM"
"DIC-WSBNQCOO02","DIC-WSBNQCOO02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"02/12/2019 8:38:36 PM"
"DIC-WSOPERAT08","DIC-WSOPERAT08.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)",,"19/04/2022 1:13:43 AM"
"DIC-WSKITCHN01","DIC-WSKITCHN01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"29/03/2021 5:12:10 PM"
"SA-WSACCHFA01","SA-WSACCHFA01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)","10.10.10.152","28/12/2022 9:11:34 AM"
"SA-WSACINCA02","SA-WSACINCA02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"19/12/2022 5:01:18 PM"
"SA-WSACACCP03","SA-WSACACCP03.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"17/09/2022 7:45:45 PM"
"SA-WSACACCR04","SA-WSACACCR04.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)","10.10.10.88","20/12/2022 8:12:10 AM"
"SA-WSACPURC05","SA-WSACPURC05.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)","10.10.10.111","21/12/2022 10:22:13 AM"
"SA-WSHKMNGR01","SA-WSHKMNGR01.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","10.10.10.191","29/12/2022 7:55:56 AM"
"SA-WSHKSUPR02","SA-WSHKSUPR02.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","10.10.10.63","28/12/2022 10:17:22 AM"
"SA-WSHRCORD01","SA-WSHRCORD01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"15/09/2019 11:34:18 AM"
"SA-WSKIHCHF01","SA-WSKIHCHF01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"30/09/2022 3:53:44 AM"
"SSC-LPCIT01","SSC-LPCIT01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"09/04/2015 4:30:12 PM"
"HIEXDICDC01","HIEXDICDC01.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)","10.10.1.17","27/12/2022 7:55:45 AM"
"AP-WSCHIENG01","AP-WSCHIENG01.hiexsp.ae","Windows 10 Pro",,"10.0 (19042)",,"10/10/2022 8:54:22 AM"
"HIEXJUMDC01","HIEXJUMDC01.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)","10.10.20.13","29/12/2022 9:54:25 AM"
"AP-WSCHIACC01","AP-WSCHIACC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"02/08/2020 5:45:47 AM"
"AP-WSFOMGR01","AP-WSFOMGR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"10/02/2017 1:13:46 AM"
"AP-WSACCREC01","AP-WSACCREC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"20/11/2019 11:18:12 AM"
"AP-WSRECEPT02","AP-WSRECEPT02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"01/12/2016 7:14:49 PM"
"LP-JMHM01","LP-JMHM01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"28/05/2014 3:57:57 PM"
"SSC-LPSALES06","SSC-LPSALES06.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"01/09/2016 10:36:48 AM"
"SSC-LPSALES04","SSC-LPSALES04.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"12/08/2021 3:06:23 AM"
"SSC-LPSALES02","SSC-LPSALES02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"24/08/2022 3:37:36 PM"
"HIEX-501850CEC0",,"Windows XP Professional","Service Pack 2","5.1 (2600)",,"26/04/2014 2:45:02 PM"
"HIEX-5DAAAC6A0C","hiex-5daaac6a0c.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"07/05/2014 2:10:48 PM"
"SSC-WSSALES01",,,,,,
"SSC-LPSALES08","SSC-LPSALES08.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,"24/03/2016 9:18:14 AM"
"JUM-LPFNB01",,,,,,
"SSC-LPCLHR01","SSC-LPCLHR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"02/11/2019 11:51:01 AM"
"DXBSPSVRKEY01","DXBSPSVRKEY01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"21/12/2019 3:34:10 PM"
